Artist,Tracks,Plays,Time
Stephen Rippy,Pork Parts,19,48.45
Stephen Rippy,Pork Parts,19,48.45
The Police,Darkness,15,48.25
Hans Zimmer,Agent of Chaos,7,47.833
Home,2,27,47.7
Boston,More Than a Feeling,10,47.5
Ozzy Osbourne,Bark at the Moon,11,47.117
Christopher Larkin,Hornet,17,47.033
Foreigner,Head Games,13,47.017
Junkie XL,Brothers In Arms,8,46.933
Metallica,Battery,9,46.8
Boston,Foreplay   Long Time,6,46.7
The Smashing Pumpkins,Soma,7,46.667
Led Zeppelin,Heartbreaker,11,46.567
Christopher Larkin,Crossroads,19,46.55
Home,Heading Up,32,46.4
"Tunç Çakır, LudoWic",Blue Room (KZ-version),16,46.4
Robert Prince,Dark Halls,10,46.333
Tears for Fears,Everybody Wants to Rule the World,11,46.017
Christopher Larkin,Dirtmouth,24,46.0
Christopher Larkin,Fungal Wastes,15,46.0
System of a Down,Chop Suey!,13,45.5
Hans Zimmer,Gotham's Reckoning,11,45.283
AC DC,Moneytalks,12,45.0
The Smashing Pumpkins,The Beginning Is the End Is the Beginning,9,45.0
CoLD SToRAGE,Kinkong,10,44.833
Weird Al  Yankovic,Money for Nothing Beverly Hillbillies,14,44.567
Kenta Nagata,Snow,15,44.5
Aerosmith,Dream On,10,44.5
Ozzy Osbourne,No More Tears,6,44.3
Howard Shore,The Black Gate Opens,11,44.183
Home,18,28,43.4
Metallica,Master of Puppets,5,42.917
The Rolling Stones,Start Me Up,12,42.8
Don McLean,American Pie,5,42.75
Hans Zimmer,The Shadows Betray You,8,42.667
Robert Prince,The Demons From Adrian's Pen,16,42.4
Ludwig Goransson,Inversion,12,42.4
Billy Squier,Lonely Is The Night,9,42.15
Bill Kiley,Rain On Brick,30,42.0
AC DC,You Shook Me All Night Long,12,42.0
Aperture Science Psychoacoustics Laboratory,Comedy = Tragedy + Time,12,41.8
AC DC,Highway to Hell,12,41.6
Scorpions,Big City Nights,10,41.5
Bon Jovi,Wanted Dead or Alive,8,41.333
Aperture Science Psychoacoustics Laboratory,Android Hell,11,41.25
Howard Shore,The Fields of Pelennor,12,41.2
Bon Jovi,It's My Life,11,41.067
Linkin Park,What I've Done,12,41.0
Junkie XL,Chapter Doof,6,40.9
Pink Floyd,"Another Brick in the Wall, Pt. 3",33,40.7
Ludwig Goransson,Priya,12,40.6
Nirvana,Smells Like Teen Spirit,8,40.133
Ludwig Goransson,FREEPORT,11,39.967
Marco Beltrami and Buck Sanders,Le Mans 66,7,39.9
Mick Gordon,Everything Is Going to Be Okay,16,39.733
Moby,Extreme Ways,10,39.5
Howard Shore,Forth Eorlingas,12,39.0
Nazareth,Love Hurts,10,38.833
Metallica,"Damage, Inc.",7,38.733
Michael McCann,Battle for the Future,10,38.667
Howard Shore,The Uruk-Hai,13,38.567
Kenta Nagata,Ground,13,38.567
Nirvana,Lithium,9,38.55
